!Num,Nombre,Data,#Uni,GerMin,GerMax,ICP,IH,CVaria,CTransp,CoefE
186.0000,HUB_THR_B2,2022-07-01,1,0,300.3000,550.0000,550.0000,0,0,???
186.0000,HUB_THR_B2,2022-07-01,1,0,300.3000,550.0000,550.0000,0,0,???
188.0000,KHI_COSTL,2022-01-01,1,0,2200.0000,550.0000,550.0000,0,0,???
188.0000,KHI_COSTL,2022-01-01,1,0,2200.0000,550.0000,550.0000,0,0,???
195.0000,CHASHNUPP_5,2024-06-01,1,0,1100.0000,550.0000,550.0000,0,0,???
195.0000,CHASHNUPP_5,2024-06-01,1,0,1100.0000,550.0000,550.0000,0,0,???
252.0000,SHAHTAJ,2021-07-01,1,0,32.0000,550.0000,550.0000,0,0,???
252.0000,SHAHTAJ,2021-07-01,1,0,32.0000,550.0000,550.0000,0,0,???
253.0000,HUNZA,2020-07-01,1,0,50.0000,550.0000,550.0000,0,0,???
253.0000,HUNZA,2020-07-01,1,0,50.0000,550.0000,550.0000,0,0,???
254.0000,Sheikho,2020-07-01,1,0,30.0000,550.0000,550.0000,0,0,???
254.0000,Sheikho,2020-07-01,1,0,30.0000,550.0000,550.0000,0,0,???
255.0000,Indus,2020-07-01,1,0,31.0000,550.0000,550.0000,0,0,???
255.0000,Indus,2020-07-01,1,0,31.0000,550.0000,550.0000,0,0,???
256.0000,Faran,2020-07-01,1,0,27.0000,550.0000,550.0000,0,0,???
256.0000,Faran,2020-07-01,1,0,27.0000,550.0000,550.0000,0,0,???
258.0000,Itefaq,2020-07-01,1,0,31.0000,550.0000,550.0000,0,0,???
258.0000,Itefaq,2020-07-01,1,0,31.0000,550.0000,550.0000,0,0,???
259.0000,Bahawalpur,2020-07-01,1,0,31.0000,550.0000,550.0000,0,0,???
259.0000,Bahawalpur,2020-07-01,1,0,31.0000,550.0000,550.0000,0,0,???
260.0000,Mirpurkhas,2020-07-01,1,0,26.0000,550.0000,550.0000,0,0,???
